ticker,et,model,called,p_tight,p_normal,p_expanded,p_explosive,actual,next_bar_move_atr
IWM,14:35,c49qf,TIGHT,0.619,0.265,0.069,0.047,NORMAL,0.817
IWM,14:40,6hp7l,TIGHT,0.614,0.262,0.100,0.024,TIGHT,0.045
IWM,14:40,c49qf,TIGHT,0.629,0.268,0.069,0.034,TIGHT,0.045
IWM,14:45,6hp7l,TIGHT,0.636,0.241,0.095,0.027,NORMAL,0.881
IWM,14:45,c49qf,TIGHT,0.635,0.261,0.068,0.036,NORMAL,0.881
IWM,14:50,6hp7l,TIGHT,0.617,0.265,0.100,0.018,NORMAL,0.897
IWM,14:50,c49qf,TIGHT,0.636,0.266,0.069,0.028,NORMAL,0.897
IWM,14:55,6hp7l,TIGHT,0.702,0.193,0.069,0.035,TIGHT,0.015
IWM,14:55,c49qf,TIGHT,0.635,0.265,0.071,0.029,TIGHT,0.015
IWM,15:00,6hp7l,TIGHT,0.691,0.197,0.074,0.038,TIGHT,0.089
IWM,15:00,c49qf,TIGHT,0.628,0.268,0.072,0.032,TIGHT,0.089
IWM,15:05,6hp7l,TIGHT,0.705,0.196,0.066,0.033,NORMAL,0.587
IWM,15:05,c49qf,TIGHT,0.627,0.262,0.068,0.043,NORMAL,0.587
IWM,15:10,6hp7l,TIGHT,0.715,0.176,0.073,0.036,TIGHT,0.121
IWM,15:10,c49qf,TIGHT,0.633,0.265,0.073,0.030,TIGHT,0.121
IWM,15:15,6hp7l,TIGHT,0.731,0.178,0.054,0.036,TIGHT,0.046
IWM,15:15,c49qf,TIGHT,0.629,0.263,0.069,0.040,TIGHT,0.046
IWM,15:20,6hp7l,TIGHT,0.840,0.093,0.044,0.023,TIGHT,0.022
IWM,15:20,c49qf,TIGHT,0.648,0.266,0.058,0.028,TIGHT,0.022
IWM,15:25,6hp7l,TIGHT,0.744,0.184,0.043,0.029,TIGHT,0.459
IWM,15:25,c49qf,TIGHT,0.632,0.264,0.068,0.036,TIGHT,0.459
IWM,15:30,6hp7l,TIGHT,0.771,0.174,0.046,0.009,TIGHT,0.200
IWM,15:30,c49qf,TIGHT,0.640,0.264,0.068,0.028,TIGHT,0.200
IWM,15:35,6hp7l,TIGHT,0.792,0.158,0.041,0.010,TIGHT,0.393
IWM,15:35,c49qf,TIGHT,0.641,0.264,0.069,0.026,TIGHT,0.393
IWM,15:40,6hp7l,TIGHT,0.747,0.187,0.056,0.011,TIGHT,0.453
IWM,15:40,c49qf,TIGHT,0.641,0.264,0.069,0.026,TIGHT,0.453
IWM,15:45,6hp7l,TIGHT,0.713,0.190,0.083,0.014,TIGHT,0.309
IWM,15:45,c49qf,TIGHT,0.640,0.264,0.069,0.028,TIGHT,0.309
IWM,15:50,6hp7l,TIGHT,0.733,0.176,0.074,0.017,TIGHT,0.341
IWM,15:50,c49qf,TIGHT,0.632,0.264,0.071,0.033,TIGHT,0.341
IWM,15:55,6hp7l,TIGHT,0.749,0.173,0.067,0.011,,
IWM,15:55,c49qf,TIGHT,0.636,0.262,0.072,0.031,,
QQQ,09:45,6hp7l,TIGHT,0.742,0.221,0.015,0.022,TIGHT,0.197
QQQ,09:45,c49qf,TIGHT,0.639,0.253,0.077,0.032,TIGHT,0.197
QQQ,09:50,6hp7l,TIGHT,0.734,0.225,0.011,0.030,NORMAL,0.628
QQQ,09:50,c49qf,TIGHT,0.625,0.246,0.098,0.032,NORMAL,0.628
QQQ,09:55,6hp7l,EXPLOSIVE,0.714,0.217,0.018,0.051,TIGHT,0.306
QQQ,09:55,c49qf,EXPLOSIVE,0.607,0.262,0.077,0.055,TIGHT,0.306
QQQ,10:00,6hp7l,EXPLOSIVE,0.702,0.225,0.019,0.054,TIGHT,0.422
QQQ,10:00,c49qf,TIGHT,0.625,0.255,0.077,0.043,TIGHT,0.422
QQQ,10:05,6hp7l,TIGHT,0.757,0.201,0.015,0.027,TIGHT,0.113
QQQ,10:05,c49qf,TIGHT,0.630,0.255,0.077,0.038,TIGHT,0.113
QQQ,10:10,6hp7l,TIGHT,0.754,0.216,0.012,0.018,TIGHT,0.395
QQQ,10:10,c49qf,TIGHT,0.654,0.248,0.072,0.026,TIGHT,0.395
QQQ,10:15,6hp7l,TIGHT,0.749,0.207,0.014,0.029,NORMAL,0.651
QQQ,10:15,c49qf,TIGHT,0.648,0.255,0.074,0.022,NORMAL,0.651
QQQ,10:20,6hp7l,TIGHT,0.743,0.207,0.014,0.036,TIGHT,0.039
QQQ,10:20,c49qf,TIGHT,0.633,0.258,0.075,0.034,TIGHT,0.039
QQQ,10:25,6hp7l,TIGHT,0.724,0.222,0.014,0.040,TIGHT,0.444
QQQ,10:25,c49qf,TIGHT,0.635,0.258,0.071,0.037,TIGHT,0.444
QQQ,10:30,6hp7l,TIGHT,0.736,0.220,0.017,0.027,TIGHT,0.262
QQQ,10:30,c49qf,TIGHT,0.654,0.254,0.074,0.018,TIGHT,0.262
QQQ,10:35,6hp7l,TIGHT,0.748,0.220,0.018,0.014,TIGHT,0.170
QQQ,10:35,c49qf,TIGHT,0.665,0.254,0.069,0.012,TIGHT,0.170
QQQ,10:40,6hp7l,TIGHT,0.716,0.237,0.020,0.027,TIGHT,0.084
QQQ,10:40,c49qf,TIGHT,0.657,0.254,0.074,0.015,TIGHT,0.084
QQQ,10:45,6hp7l,TIGHT,0.703,0.225,0.028,0.044,TIGHT,0.279
QQQ,10:45,c49qf,TIGHT,0.649,0.252,0.069,0.030,TIGHT,0.279
QQQ,10:50,6hp7l,TIGHT,0.732,0.228,0.025,0.014,TIGHT,0.391
QQQ,10:50,c49qf,TIGHT,0.662,0.257,0.070,0.011,TIGHT,0.391
QQQ,10:55,6hp7l,TIGHT,0.698,0.259,0.026,0.018,TIGHT,0.427
QQQ,10:55,c49qf,TIGHT,0.666,0.250,0.067,0.017,TIGHT,0.427
