ticker,strat_combo,vex_tercile,n,mean_bps,hit_pct
QQQ,322_bull_continuation,LOW,105,15.95660159844799,65.71428571428571
QQQ,322_bull_continuation,MID,116,26.858573161507906,61.206896551724135
QQQ,32_bear_reversal,LOW,36,-12.26376911318874,44.44444444444444
QQQ,32_bear_reversal,MID,38,-13.26454807146168,57.89473684210527
QQQ,32_bull_reversal,HIGH,42,7.752452016495164,66.66666666666666
QQQ,32_bull_reversal,LOW,55,3.9444570929414846,56.36363636363636
QQQ,32_bull_reversal,MID,52,10.507843955434806,61.53846153846154
QQQ,clean_2d_bear,HIGH,90,4.635735019611258,56.66666666666666
QQQ,clean_2d_bear,LOW,89,11.743159260385108,56.17977528089888
QQQ,clean_2d_bear,MID,80,-13.444323166021444,52.5
QQQ,clean_2u_bull,HIGH,114,15.118088958916571,58.77192982456141
QQQ,clean_2u_bull,LOW,109,8.88939552402256,59.63302752293578
QQQ,clean_2u_bull,MID,126,11.045594621118406,63.49206349206349
QQQ,f2d_bull_reversal,HIGH,48,-3.6369034916003984,50.0
QQQ,f2d_bull_reversal,LOW,61,25.572850660688303,62.29508196721312
QQQ,f2d_bull_reversal,MID,62,-6.440498174943639,56.451612903225815
QQQ,f2u_bear_reversal,HIGH,49,24.9297783489,71.42857142857143
QQQ,f2u_bear_reversal,LOW,52,15.046959174815887,55.76923076923077
QQQ,f2u_bear_reversal,MID,59,3.284684578916171,50.84745762711864
QQQ,none,HIGH,1166,8.700378006963986,59.17667238421955
QQQ,none,LOW,1136,10.557076013810304,57.306338028169016
QQQ,none,MID,1145,1.7987099957678714,55.28384279475983
SPY,11_inside_compression,HIGH,54,13.265964336488588,59.25925925925925
SPY,11_inside_compression,LOW,42,15.209284321093032,61.90476190476191
SPY,11_inside_compression,MID,63,6.475013863067161,47.61904761904761
SPY,132_bear_continuation,HIGH,37,-3.481401706364993,48.64864864864865
SPY,132_bear_continuation,LOW,43,23.38600551881868,55.81395348837209
SPY,132_bear_continuation,MID,41,3.233388659823282,56.09756097560976
SPY,132_bull_continuation,HIGH,38,12.763307334810513,68.42105263157895
SPY,132_bull_continuation,LOW,43,0.7212257701157103,53.48837209302325
SPY,132_bull_continuation,MID,50,33.138637938523686,64.0
