ticker,strat_combo,vix_tercile,n,mean_bps,hit_pct
SPY,212_bear_reversal,LOW,168,5.869311870727045,59.523809523809526
SPY,212_bear_reversal,MID,154,8.83533903414058,55.1948051948052
SPY,212_bull_continuation,HIGH,95,4.81553086224907,55.78947368421052
SPY,212_bull_continuation,LOW,130,3.3379291331776675,50.0
SPY,212_bull_continuation,MID,116,6.852452541839105,55.172413793103445
SPY,212_bull_reversal,HIGH,146,29.71094019440126,60.273972602739725
SPY,212_bull_reversal,LOW,173,2.2480879043828383,54.33526011560693
SPY,212_bull_reversal,MID,159,3.224133197491746,55.34591194968554
SPY,22_bear_continuation,HIGH,1028,-2.79552599573411,48.63813229571984
SPY,22_bear_continuation,LOW,626,7.979274460851709,59.10543130990416
SPY,22_bear_continuation,MID,765,9.387532604975643,58.03921568627452
SPY,22_bear_reversal,HIGH,797,-2.3587347334821342,49.43538268506901
SPY,22_bear_reversal,LOW,743,7.791868852452091,58.00807537012113
SPY,22_bear_reversal,MID,735,1.7707087215867312,54.01360544217687
SPY,22_bull_continuation,HIGH,1076,0.0644132038362282,53.53159851301115
SPY,22_bull_continuation,LOW,1178,5.667932776887678,55.85738539898133
SPY,22_bull_continuation,MID,1188,3.880897379749312,55.97643097643098
SPY,22_bull_reversal,HIGH,784,-2.5805163056118987,52.16836734693877
SPY,22_bull_reversal,LOW,744,6.596072693195493,55.64516129032258
SPY,22_bull_reversal,MID,711,0.7488582355363284,53.44585091420534
SPY,312_bear_reversal,HIGH,38,8.300857057465224,52.63157894736842
SPY,312_bear_reversal,LOW,38,10.67480430147037,55.26315789473685
SPY,312_bear_reversal,MID,39,13.681205132662855,56.41025641025641
SPY,312_bull_reversal,HIGH,63,-11.144930187650012,53.96825396825397
SPY,312_bull_reversal,LOW,59,9.03397790330736,55.932203389830505
SPY,312_bull_reversal,MID,62,23.951518213187192,70.96774193548387
SPY,322_bear_continuation,HIGH,100,2.0977638843653805,50.0
SPY,322_bear_continuation,LOW,55,17.615851571873705,67.27272727272727
SPY,322_bear_continuation,MID,94,5.005585092079682,48.93617021276596
SPY,322_bull_continuation,HIGH,91,20.307478732380407,63.73626373626373
SPY,322_bull_continuation,LOW,135,10.595679305126817,69.62962962962963
SPY,322_bull_continuation,MID,128,1.9801622267744647,53.125
SPY,32_bear_reversal,HIGH,45,17.59451553611043,55.55555555555556
SPY,32_bear_reversal,LOW,34,11.507041157122035,79.41176470588235
SPY,32_bear_reversal,MID,38,11.301050282541288,55.26315789473685
SPY,32_bull_reversal,HIGH,44,-12.295322418547848,52.27272727272727
SPY,32_bull_reversal,LOW,57,15.02505810759008,64.91228070175438
SPY,32_bull_reversal,MID,52,-5.512994714509868,53.84615384615385
SPY,clean_2d_bear,HIGH,115,-9.052017855249249,52.17391304347826
SPY,clean_2d_bear,LOW,76,10.714257590738606,67.10526315789474
SPY,clean_2d_bear,MID,84,7.609381689679135,52.38095238095239
SPY,clean_2u_bull,HIGH,117,-2.4499974418507957,53.84615384615385
SPY,clean_2u_bull,LOW,124,7.656221240516927,56.451612903225815
SPY,clean_2u_bull,MID,128,10.378775503550184,62.5
SPY,f2d_bull_reversal,HIGH,55,5.041590755788695,50.90909090909091
SPY,f2d_bull_reversal,LOW,51,12.978429736538253,66.66666666666666
SPY,f2d_bull_reversal,MID,43,10.07056819045892,60.46511627906976
SPY,f2u_bear_reversal,HIGH,56,-1.1590708014364797,55.35714285714286
SPY,f2u_bear_reversal,LOW,42,9.772330978829384,64.28571428571429
SPY,f2u_bear_reversal,MID,62,11.532426036348513,53.2258064516129
SPY,none,HIGH,1135,3.2718568105647234,53.48017621145375
SPY,none,LOW,1174,7.563804852943999,57.75127768313458
SPY,none,MID,1136,7.662132090869672,57.570422535211264
