ticker,strat_combo,gex_tercile,n,mean_bps,hit_pct
SPY,132_bull_continuation,LOW,2659,0.1401159903802486,49.94358781496803
SPY,132_bull_continuation,MID,2590,-0.230342878115073,49.92277992277992
SPY,212_bear_continuation,HIGH,8560,0.1670737395610847,52.348130841121495
SPY,212_bear_continuation,LOW,6912,0.3248957878779517,51.73611111111112
SPY,212_bear_continuation,MID,7448,0.20332416698337,51.39634801288937
SPY,212_bear_continuation,,58,-0.6608859921156607,46.55172413793103
SPY,212_bear_reversal,HIGH,13561,0.095224204141508,51.13192242459995
SPY,212_bear_reversal,LOW,11304,0.2207703255870028,50.2034677990092
SPY,212_bear_reversal,MID,11944,-0.0772510384446261,50.418620227729406
SPY,212_bear_reversal,,74,-0.9313335740263904,45.94594594594595
SPY,212_bull_continuation,HIGH,9588,-0.0443632579849372,48.393825615352526
SPY,212_bull_continuation,LOW,7318,-0.1318598997719093,48.20989341350096
SPY,212_bull_continuation,MID,7831,-0.1364960783872151,49.21465968586388
SPY,212_bull_continuation,,68,1.2883453493939625,58.82352941176471
SPY,212_bull_reversal,HIGH,13509,0.0852983622015052,50.64771633725664
SPY,212_bull_reversal,LOW,11027,-0.0970427143024326,50.43982950938605
SPY,212_bull_reversal,MID,11695,0.3357739930027746,51.363830696879006
SPY,212_bull_reversal,,83,1.1896393746326577,53.01204819277109
SPY,22_bear_continuation,HIGH,52485,0.1841989461419365,52.18252834143089
SPY,22_bear_continuation,LOW,51650,0.3649760535347923,50.516940948693126
SPY,22_bear_continuation,MID,48402,0.3070583128340619,51.84909714474608
SPY,22_bear_continuation,,310,1.864826843937356,57.41935483870968
SPY,22_bear_reversal,HIGH,37443,0.038367609636559,51.21651577063804
SPY,22_bear_reversal,LOW,35629,0.1263486278601041,50.7564062982402
SPY,22_bear_reversal,MID,34458,0.2269450987959905,51.17244181322189
SPY,22_bear_reversal,,246,-0.2965642837173505,45.1219512195122
