ticker,strat_combo,dealer_regime,n,hit_pct,hit_ci_lo,hit_ci_hi,mean_bps,std_bps
QQQ,22_bull_reversal,GEX_MID_VEX_LOW,72,54.17,41.67,65.28,-10.95,114.12
QQQ,22_bull_reversal,GEX_MID_VEX_MID,252,55.56,48.41,61.9,11.75,120.31
QQQ,312_bull_reversal,GEX_MID_VEX_HIGH,34,52.94,35.29,69.19,-1.35,70.96
QQQ,322_bear_continuation,GEX_LOW_VEX_LOW,38,60.53,44.74,76.32,13.07,76.11
QQQ,322_bear_continuation,GEX_LOW_VEX_MID,40,45.0,30.0,60.0,-27.55,168.18
QQQ,322_bear_continuation,GEX_MID_VEX_HIGH,31,64.52,45.16,80.65,19.85,72.34
QQQ,322_bull_continuation,GEX_HIGH_VEX_LOW,53,71.7,58.49,83.02,19.88,85.42
QQQ,322_bull_continuation,GEX_HIGH_VEX_MID,32,53.12,37.5,68.75,-7.42,91.2
QQQ,322_bull_continuation,GEX_LOW_VEX_LOW,43,60.47,46.51,74.42,19.92,95.16
QQQ,322_bull_continuation,GEX_LOW_VEX_MID,44,68.18,54.55,81.82,49.18,122.7
QQQ,322_bull_continuation,GEX_MID_VEX_HIGH,54,59.26,46.3,72.22,-3.66,83.38
QQQ,322_bull_continuation,GEX_MID_VEX_MID,40,60.0,45.0,75.0,29.73,119.05
QQQ,32_bull_reversal,GEX_HIGH_VEX_LOW,31,54.84,38.71,72.66,-11.44,84.71
QQQ,clean_2d_bear,GEX_HIGH_VEX_LOW,40,62.5,47.5,77.5,4.13,77.55
QQQ,clean_2d_bear,GEX_LOW_VEX_LOW,36,58.33,41.67,75.0,27.63,111.37
QQQ,clean_2d_bear,GEX_LOW_VEX_MID,39,33.33,20.51,47.5,-61.25,204.88
QQQ,clean_2d_bear,GEX_MID_VEX_HIGH,45,60.0,45.5,73.33,9.89,73.72
QQQ,clean_2u_bull,GEX_HIGH_VEX_LOW,60,55.0,43.33,66.67,2.11,89.55
QQQ,clean_2u_bull,GEX_HIGH_VEX_MID,32,62.5,46.88,81.25,13.64,114.39
QQQ,clean_2u_bull,GEX_LOW_VEX_LOW,39,66.67,53.85,82.05,27.09,135.89
QQQ,clean_2u_bull,GEX_LOW_VEX_MID,52,61.54,48.08,73.08,3.57,170.08
QQQ,clean_2u_bull,GEX_MID_VEX_HIGH,70,61.43,50.0,72.86,18.77,70.75
QQQ,clean_2u_bull,GEX_MID_VEX_MID,42,66.67,50.0,80.95,18.33,109.01
