trade_type,duration_minutes,price_change,return_pct,entry_timestamp,entry_price,entry_open,entry_high,entry_low,entry_close,entry_volume,entry_EMA9,entry_EMA20,entry_EMA50,entry_VWAP,entry_RVOL20,entry_RVOL_MOD,entry_RVOL_MOD_EXCL,entry_ATR14_W,entry_RSI14_W,entry_StochRSI_K,entry_StochRSI_D,entry_OBV,exit_timestamp,exit_price,exit_open,exit_high,exit_low,exit_close,exit_volume,exit_EMA9,exit_EMA20,exit_EMA50,exit_VWAP,exit_RVOL20,exit_RVOL_MOD,exit_RVOL_MOD_EXCL,exit_ATR14_W,exit_RSI14_W,exit_StochRSI_K,exit_StochRSI_D,exit_OBV
put,1,-0.08499999999997954,0.037912578055298636,2025-07-21 11:31:00,224.2,224.21,224.265,224.18,224.2,36423.0,224.17870222987128,224.17398926129664,224.15410624682332,223.92217150261968,0.8785803966311798,0.6534895510617924,0.6481422165278667,0.08656564226274303,52.277548909818925,69.04661388392857,66.01043956916972,969179.0,2025-07-21 11:32:00,224.115,224.2,224.205,224.11,224.115,25843.0,224.16596178389705,224.16837123641125,224.1525726685165,223.9229661564909,0.6340370147290997,0.39841765752794034,0.3927915513009203,0.08716809638683273,45.61445553151177,59.646819123378286,63.88923275390591,943336.0
call,2,0.04999999999998295,0.02230997478972088,2025-07-21 11:32:00,224.115,224.2,224.205,224.11,224.115,25843.0,224.16596178389705,224.16837123641125,224.1525726685165,223.9229661564909,0.6340370147290997,0.39841765752794034,0.3927915513009203,0.08716809638683273,45.61445553151177,59.646819123378286,63.88923275390591,943336.0,2025-07-21 11:34:00,224.165,224.15,224.205,224.14,224.165,31428.0,224.16161554169415,224.16560547923913,224.15258630415536,223.9249045603389,0.7757854617982188,0.6145281779934628,0.6089393928210276,0.08378269535395286,49.821745194640954,46.2969751714389,54.562187513917166,1006743.0
put,3,-0.030000000000001137,0.013382999130105565,2025-07-21 11:34:00,224.165,224.15,224.205,224.14,224.165,31428.0,224.16161554169415,224.16560547923913,224.15258630415536,223.9249045603389,0.7757854617982188,0.6145281779934628,0.6089393928210276,0.08378269535395286,49.821745194640954,46.2969751714389,54.562187513917166,1006743.0,2025-07-21 11:37:00,224.135,224.145,224.16,224.115,224.135,17528.0,224.15342715734744,224.1604781321781,224.1518791874737,223.92807945516105,0.4395609907175091,0.3147113080847432,0.30965879216515,0.07856252977136709,47.153226704619186,27.814413766975317,39.41904281555644,910027.0
call,1,0.020000000000010232,0.00892319361099794,2025-07-21 11:37:00,224.135,224.145,224.16,224.115,224.135,17528.0,224.15342715734744,224.1604781321781,224.1518791874737,223.92807945516105,0.4395609907175091,0.3147113080847432,0.30965879216515,0.07856252977136709,47.153226704619186,27.814413766975317,39.41904281555644,910027.0,2025-07-21 11:38:00,224.155,224.14,224.18,224.14,224.155,34902.0,224.15374172587798,224.15995640530397,224.15200157227864,223.92916728996298,0.9035239297155616,0.5690967135950844,0.5633173022421111,0.07616520621627057,49.22734847350296,31.21092379833929,36.68300314315072,944929.0
put,4,-0.2150000000000034,0.09591577256809057,2025-07-21 11:38:00,224.155,224.14,224.18,224.14,224.155,34902.0,224.15374172587798,224.15995640530397,224.15200157227864,223.92916728996298,0.9035239297155616,0.5690967135950844,0.5633173022421111,0.07616520621627057,49.22734847350296,31.21092379833929,36.68300314315072,944929.0,2025-07-21 11:42:00,223.94,224.0,224.015,223.905,223.94,30640.0,224.07503661091968,224.11723123953303,224.13476289704823,223.93116346828222,0.8761620442255946,0.5888697046667719,0.5831612462053599,0.08070633212054482,32.34616294702842,8.000295846788811,17.913086441279052,810109.0
call,2,0.0800000000000125,0.035723854603917346,2025-07-21 11:42:00,223.94,224.0,224.015,223.905,223.94,30640.0,224.07503661091968,224.11723123953303,224.13476289704823,223.93116346828222,0.8761620442255946,0.5888697046667719,0.5831612462053599,0.08070633212054482,32.34616294702842,8.000295846788811,17.913086441279052,810109.0,2025-07-21 11:44:00,224.02,223.97,224.025,223.95,224.02,28029.0,224.05042343098862,224.09700788542273,224.12480804145054,223.93154956436126,0.8731802902812781,0.6780379297134091,0.6728797923089849,0.07826209249169624,41.360903226846446,25.074607497655553,19.652346954423496,862847.0
put,1,-0.03499999999999659,0.015623605035263183,2025-07-21 11:44:00,224.02,223.97,224.025,223.95,224.02,28029.0,224.05042343098862,224.09700788542273,224.12480804145054,223.93154956436126,0.8731802902812781,0.6780379297134091,0.6728797923089849,0.07826209249169624,41.360903226846446,25.074607497655553,19.652346954423496,862847.0,2025-07-21 11:45:00,223.985,224.025,224.04,223.9628,223.985,21539.0,224.0373387447909,224.08634046776342,224.11932537315838,223.93173211608246,0.6805349746130345,0.46664950235245156,0.4607979119793765,0.07818622874228971,38.81051013780788,29.046651661439455,22.783781856762147,841308.0
call,1,0.125,0.05580730852512445,2025-07-21 11:45:00,223.985,224.025,224.04,223.9628,223.985,21539.0,224.0373387447909,224.08634046776342,224.11932537315838,223.93173211608246,0.6805349746130345,0.46664950235245156,0.4607979119793765,0.07818622874228971,38.81051013780788,29.046651661439455,22.783781856762147,841308.0,2025-07-21 11:46:00,224.11,223.985,224.11,223.98,224.11,18636.0,224.05187099583273,224.08859375654785,224.1189596722502,223.93206233028818,0.6051052099246865,0.3905185647243435,0.38493262921626814,0.08188721240355644,50.54040930299628,52.69776777429297,32.755110495939086,859944.0
put,4,-0.27000000000001023,0.12047655169336942,2025-07-21 11:46:00,224.11,223.985,224.11,223.98,224.11,18636.0,224.05187099583273,224.08859375654785,224.1189596722502,223.93206233028818,0.6051052099246865,0.3905185647243435,0.38493262921626814,0.08188721240355644,50.54040930299628,52.69776777429297,32.755110495939086,859944.0,2025-07-21 11:50:00,223.84,223.91,223.935,223.835,223.84,57348.0,223.9761903598931,224.03716058096717,224.09206565149327,223.93225409192996,1.863061049458118,1.233811121073361,1.2407181137665946,0.08333925118330973,33.697526772614594,33.546993207978225,41.586051655122695,729336.0
call,3,0.04999999999998295,0.022337383845596383,2025-07-21 11:50:00,223.84,223.91,223.935,223.835,223.84,57348.0,223.9761903598931,224.03716058096717,224.09206565149327,223.93225409192996,1.863061049458118,1.233811121073361,1.2407181137665946,0.08333925118330973,33.697526772614594,33.546993207978225,41.586051655122695,729336.0,2025-07-21 11:53:00,223.89,223.88,223.895,223.85,223.89,32825.0,223.9274094642653,223.99501181566288,224.06738849938966,223.93155665455123,1.0774853969134515,0.8565248445150795,0.8536088525426541,0.07889443689859045,38.599737987499836,29.71101163896397,32.252833974020696,817238.0
