Time,Open,High,Low,Last,Change,%Chg,Volume,ATR14_W,RSI14_W,EMA9,EMA20,EMA50,VWAP,RVOL20,RVOL_MOD,RVOL_MOD_EXCL,OBV,StochRSI_K,StochRSI_D
2025-08-07 18:28:00,220.88,220.88,220.88,220.88,0.1,+0.05%,200.0,0.052093482940781366,75.33389932995131,220.72611169521218,220.6400292538866,220.50336903147837,219.89455471210928,0.2214471571721198,0.11873664212776062,0.11347348303870043,98216.0,80.65153578549094,65.41378538334949
2025-08-07 18:29:00,220.9097,220.94,220.86,220.86,-0.02,-0.01%,2300.0,0.05408680558786727,72.7039372808029,220.75288935616976,220.66097884875455,220.5173545596557,219.89463103376875,2.3275818448616103,3.4972123669538777,3.996177569281557,95916.0,81.43157194213627,70.75304756961175
2025-08-07 18:30:00,220.82,220.82,220.82,220.82,-0.04,-0.02%,435.0,0.05308060518873536,67.61946979569765,220.76631148493584,220.67612372030172,220.52922300829667,219.89464449724332,0.441669204995431,0.552436334469621,0.5390334572490706,95481.0,70.99092688831927,70.83234067584759
2025-08-07 18:31:00,220.72,220.72,220.72,220.72,-0.1,-0.05%,174.0,0.05643199053239671,56.90516653962863,220.7570491879487,220.68030241360634,220.5367044589517,219.89464930055468,0.1762650053183407,0.15510325360273364,0.14960747663551402,95307.0,47.32728459221284,62.99732198130267
2025-08-07 18:35:00,220.71,220.71,220.71,220.71,-0.01,0.00%,400.0,0.05311541978008201,55.950437044097846,220.74763935035895,220.68313075516767,220.54350036252222,219.89466020865362,0.42480883602378927,0.955458760713784,0.9528063123418192,94907.0,31.551523061475226,52.51538900802686
2025-08-07 18:36:00,220.7,220.7,220.7,220.7,-0.01,0.00%,268.0,0.05003574693864896,54.957458273844885,220.73811148028716,220.6847373499136,220.54963760320763,219.8946674272821,0.3219219219219219,0.5953829807785184,0.5846306395637084,94639.0,21.03434870765015,42.02170890790129
2025-08-07 18:39:00,220.69,220.69,220.69,220.69,-0.01,0.00%,200.0,0.04717605072874482,53.926774105588464,220.72848918422974,220.68523855468374,220.55514201092498,219.8946727473429,0.25169896803423103,0.20327897830217864,0.196174595389897,94439.0,14.022899138433432,32.68877231807867
2025-08-07 18:40:00,220.7,220.7,220.7,220.7,0.01,0.00%,767.0,0.04452061853383382,54.83888636380941,220.7227913473838,220.68664440661863,220.5608227163789,219.89469340563676,0.9612131085907638,1.3788437884378844,1.4084880636604775,95206.0,10.76886214759191,25.382135594583087
2025-08-07 18:41:00,220.69,220.6999,220.69,220.6999,-0.0001,0.00%,1750.0,0.04205486006713076,54.8271972819456,220.71821307790705,220.68790684408353,220.5662767275013,219.89474033699324,2.0285151269270894,3.035320088300221,3.361075544174136,93456.0,8.581302921255409,19.781858036807193
2025-08-07 18:42:00,220.6996,220.6996,220.6996,220.6996,-0.0003,0.00%,500.0,0.039072370062336416,54.78946658877561,220.71449046232567,220.68902047798034,220.5715050911287,219.89475379510648,0.579575750550597,0.7047713017125942,0.693987873475053,92956.0,7.064179114989474,15.54263172953462
