ticker,alert_kind,alert_direction,ftfc_prev_day_dir,vix_tercile,tod_bucket,regime,horizon,n,hit_rate,hit_rate_ci_lo,hit_rate_ci_hi,baseline_pct_up,lift_pp,mean_ret_bps,std_ret_bps,p_value,p_adj,reject
SPY,gamma_gate_break,CALL,UP,MID,open,unknown,1d,32,90.625,78.125,100.0,55.2,35.425,273.223086416771,246.51745375267,5.5840175562593686e-05,0.0009532715685328494,True
SPY,gamma_gate_break,CALL,UP,MID,open,unknown,5d,32,93.75,84.375,100.0,61.47,32.28,276.0060515033054,320.55543981370283,0.0001753413546112803,0.0024650931618879998,True
SPY,gamma_gate_break,PUT,DOWN,HIGH,afternoon,unknown,5m,32,50.0,31.25,65.625,49.48,0.5200000000000031,-1.4430928039315463,15.232670108036022,0.9530839560606306,0.9810959818866655,False
SPY,gamma_gate_break,PUT,DOWN,HIGH,afternoon,unknown,15m,32,43.75,28.046875000000004,62.5,48.33,-4.579999999999998,-2.9622921721054665,43.43454638591623,0.6041393739360508,0.8390436175738006,False
SPY,gamma_gate_break,PUT,DOWN,HIGH,afternoon,unknown,30m,32,40.625,21.875,56.25,47.56,-6.935000000000002,1.56440650471479,47.13931533782656,0.43213608853384633,0.7484096026057194,False
SPY,gamma_gate_break,PUT,DOWN,HIGH,afternoon,unknown,60m,32,46.875,31.171875000000004,65.625,46.72,0.15500000000000114,-7.664865987972778,72.54012733461057,0.9859786164675306,0.9912776535988331,False
SPY,gamma_gate_break,PUT,DOWN,HIGH,afternoon,unknown,1d,32,18.75,6.25,34.375,44.8,-26.049999999999997,-289.4737990266382,259.35355607659545,0.0030436956114157088,0.024487927741015898,True
SPY,gamma_gate_break,PUT,DOWN,HIGH,afternoon,unknown,5d,32,25.0,12.421875000000004,40.625,38.53,-13.530000000000001,-298.7925442503946,404.2026074805747,0.11579183342880284,0.3511960430137548,False
SPY,gamma_gate_break,PUT,DOWN,HIGH,close,unknown,5m,15,66.66666666666666,40.0,93.33333333333333,49.48,17.18666666666666,-0.4081190749148084,14.67737609306254,0.1830753609632778,0.4766341096974226,False
SPY,gamma_gate_break,PUT,DOWN,HIGH,close,unknown,15m,11,54.54545454545454,27.27272727272727,81.81818181818183,48.33,6.215454545454541,-4.1659509970577435,27.443263906576654,0.6799606912419853,0.8762174527487437,False
SPY,gamma_gate_break,PUT,DOWN,HIGH,close,unknown,1d,19,15.789473684210526,0.0,31.57894736842105,44.8,-29.01052631578947,-315.39791201193697,322.00349920189115,0.010994667120450163,0.0677248825202987,True
SPY,gamma_gate_break,PUT,DOWN,HIGH,close,unknown,5d,19,26.31578947368421,10.526315789473683,47.368421052631575,38.53,-12.214210526315792,-257.23066204296265,519.9794510408469,0.2739618625420335,0.5877637804986175,False
SPY,gamma_gate_break,PUT,DOWN,HIGH,midday,unknown,5m,54,61.111111111111114,48.148148148148145,74.07407407407408,49.48,11.631111111111117,2.5046955334093752,20.60296290973565,0.08735657748549852,0.2905303807728037,False
SPY,gamma_gate_break,PUT,DOWN,HIGH,midday,unknown,15m,54,51.85185185185185,38.88888888888889,64.81481481481481,48.33,3.5218518518518493,-2.343139563449293,47.476483546421385,0.604532681783299,0.8390436175738006,False
SPY,gamma_gate_break,PUT,DOWN,HIGH,midday,unknown,30m,54,46.2962962962963,33.33333333333333,59.25925925925925,47.56,-1.2637037037037047,-1.6803950997934403,55.345044122557866,0.8524860899252922,0.9380486901111641,False
