ticker,date,open,high,low,close,volume,rsi_14,atr_14,rvol,volatility_5d,volatility_20d,consecutive_up,consecutive_down,price_vs_vwap,price_vs_ema9,price_vs_ema20,strat_candle,strat_combo,strat_setup,ftfc_score,ftfc_direction,macd,macd_signal,macd_histogram,bb_width,bb_pct,gap_pct,c1d,vix_close
IWM,2017-04-26,140.17,141.8166,140.13,140.99,41669249,66.49697534161787,1.7386395972213309,1.365336517791047,,0.12961627616529237,3,0,,2.0795337036775314,2.855320810795537,2U,22_bull_continuation,,,,0.7613029705562724,0.11531108461345313,0.6459918859428193,7.172274116342237,1.1184231009650862,,140.95,10.85
IWM,2017-04-27,141.34,141.8,140.48,140.95,23004326,66.28418551715865,1.7087367688483803,0.7526697229649948,,0.1297409949716371,2,1,,1.6337580533707694,2.550119937809254,1,nan,,,,0.967320370120035,0.2857129417147695,0.6816074284052656,8.119265730344807,1.0123000204876083,,139.06,10.36
IWM,2017-04-28,141.03,141.17,139.04,139.06,31113926,57.00245378251469,1.7388269996449242,1.0092195886394113,,0.13832368575269757,1,2,,0.21664255829502,1.0619288724854208,2D,212_bear_reversal,,,,0.966937188922202,0.4219577911562561,0.544979397765946,8.350870373796397,0.7609907593391568,,139.86,10.82
IWM,2017-05-01,139.64,140.29,138.7799,139.86,20925239,59.58235433926846,1.7224893568131434,0.6882343042111155,,0.13946753670227266,1,2,,0.6335390789069552,1.4844983932308238,2D,22_bear_continuation,,,,1.0194354123264873,0.5414533153903023,0.477982096936185,8.73641093355559,0.8274227851408827,,139.15,10.11
IWM,2017-05-02,139.98,140.34,138.69,139.15,17993929,56.350793228007426,1.7173115456122052,0.6128221623442437,,0.13478820772223152,1,2,,0.09811385379977218,0.8761875541894636,3,nan,,,,0.992310824824699,0.6316248172771817,0.36068600754751734,8.881625752076502,0.7245647425004008,,138.29,10.59
IWM,2017-05-03,138.49,139.1142,137.69,138.29,27040601,52.627459977231865,1.6989321494970482,0.9187320765968301,,0.13709363363197938,1,2,,-0.4168584676539886,0.22860933420692503,2D,clean_2d_bear,,,,0.8911469933082117,0.6835292524833877,0.20761774082482398,8.851931088748188,0.6144947910053511,,138.1,10.68
IWM,2017-05-04,138.53,138.73,137.11,138.1,25798139,51.81292485220677,1.693294138818686,0.9060247439264258,,0.12964306210874105,0,3,,-0.4434335764516145,0.0822382762799927,2D,322_bear_continuation,,,,0.7865753647034524,0.7041384749274007,0.08243688977605168,8.448976269344428,0.5751570343858109,,138.99,10.46
IWM,2017-05-05,138.69,138.99,137.53,138.99,23806535,55.302717446765364,1.6766302717602088,0.8621272480274901,,0.1277175845411604,1,2,,0.15847255523068834,0.6575135260148318,2U,22_bull_reversal,,,,0.766679355230167,0.716646650987954,0.050032704242212955,8.362893996694197,0.6619654632158948,,138.41,10.57
IWM,2017-05-08,138.66,138.98,137.76,138.41,16680015,52.62782020466976,1.644728109491624,0.6124991734665244,,0.1290617572107815,1,2,,-0.2076957503191858,0.2148084289439935,1,nan,,,,0.696086420682974,0.7125346049269581,-0.016448184243984088,8.154969037338105,0.5772535121979613,,138.35,9.77
IWM,2017-05-09,138.59,138.83,137.78,138.35,23988364,52.34575466148106,1.6022475302422232,0.8789156622797956,,0.12909731894145612,1,2,,-0.20086496363463682,0.1550199851889633,1,11_inside_compression,,,,0.6280596324116914,0.6956396104239048,-0.06757997801221338,7.964554224810172,0.555684221298722,,139.21,9.96
